"id","Area_Code","Area","Electorate","VerifiedBallotPapers","Pct_Turnout","Remain","Leave","Rejected_Ballots"
"8","N06000001","Belfast East","64474","42665","66.17","20728","21918","19"
"14","N06000002","Belfast North","69692","39998","57.39","20128","19844","26"
"9","N06000003","Belfast South","66664","44583","66.88","30960","13596","27"
"11","N06000004","Belfast West","63883","31209","48.85","23099","8092","18"
"2","N06000005","East Antrim","63997","41564","64.95","18616","22929","19"
"15","N06000006","East Londonderry","67953","40563","56.69","21098","19455","10"
"16","N06000007","Fermanagh and South Tyrone","71051","48187","67.82","28200","19958","29"
"17","N06000008","Foyle","71677","40987","57.18","32064","8905","18"
"12","N06000009","Lagan Valley","73089","48425","66.25","22710","25704","11"
"5","N06000010","Mid Ulster","68927","42431","61.56","25612","16799","20"
"6","N06000011","Newry and Armagh","79211","50644","63.94","31963","18659","22"
"3","N06000012","North Antrim","76913","49740","64.67","18782","30938","20"
"0","N06000013","North Down","65660","44211","67.33","23131","21046","34"
"13","N06000014","South Antrim","69015","43563","63.12","21498","22055","10"
"4","N06000015","South Down","76697","47724","62.22","32076","15625","23"
"10","N06000016","Strangford","65642","42123","64.17","18727","23383","13"
"1","N06000017","Upper Bann","81469","51845","63.64","24550","27262","33"
"7","N06000018","West Tyrone","64941","40061","61.69","26765","13274","22"
