id,PC_ID,Electorate,VerifiedBallotPapers,Remain,Leave,RemainPlusLeave,NoVote
8,N06000001,64474,42665,20728,21918,42646,21828
14,N06000002,69692,39998,20128,19844,39972,29720
9,N06000003,66664,44583,30960,13596,44556,22108
11,N06000004,63883,31209,23099,8092,31191,32692
2,N06000005,63997,41564,18616,22929,41545,22452
15,N06000006,67953,40563,21098,19455,40553,27400
16,N06000007,71051,48187,28200,19958,48158,22893
17,N06000008,71677,40987,32064,8905,40969,30708
12,N06000009,73089,48425,22710,25704,48414,24675
5,N06000010,68927,42431,25612,16799,42411,26516
6,N06000011,79211,50644,31963,18659,50622,28589
3,N06000012,76913,49740,18782,30938,49720,27193
0,N06000013,65660,44211,23131,21046,44177,21483
13,N06000014,69015,43563,21498,22055,43553,25462
4,N06000015,76697,47724,32076,15625,47701,28996
10,N06000016,65642,42123,18727,23383,42110,23532
1,N06000017,81469,51845,24550,27262,51812,29657
7,N06000018,64941,40061,26765,13274,40039,24902
